Product ID,Product Name,Product Type,Sellable,Purchasable,Taxable,Type,Attribute,Value
38914104,Salt Bae 30mL,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_134,flavor_135,flavor_136,flavor_137,flavor_138"
40802413,Dr Hemp Pre-roll 1.2g,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_107,flavor_139,flavor_20,flavor_140,flavor_141,flavor_142,flavor_96,flavor_143,flavor_144,flavor_145,flavor_146,flavor_147"
42209156,Ultra Salt Halo 30ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_148,flavor_149"
39229128,Starlight Flavor Charcoal 33mm,Charcoal,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_31,flavor_61,flavor_150,flavor_151,flavor_152,flavor_18,flavor_147"
40299979,Fume Extra - Disposable 6ml 5%,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_64,flavor_1,flavor_153,flavor_68,flavor_74,flavor_154,flavor_155,flavor_156"
42242912,Fume Ultra Disposable 5%,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_64,flavor_157,flavor_153,flavor_67,flavor_27,flavor_68,flavor_158,flavor_74,flavor_154,flavor_159,flavor_18,flavor_160"
28024458,Reds - Apple Watermelon Ice Salt - 30ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_1,nicotine_2"
28025206,Reds Apple - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025224,Reds Apple Berries - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025243,Reds Apple Berries Ice - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025260,Reds Apple Grape - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025275,Reds Apple Grape Ice - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025288,Reds Apple Ice - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025301,Reds Apple Watermelon - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025313,Reds Apple Watermelon Ice - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
32358434,Reds Apple Guava - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
32358444,Reds Apple Guava Iced - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
32358446,Reds - Apple Guava Salt - 30ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_1,nicotine_2"
32358448,Reds - Apple Guava Iced Salt - 30ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_1,nicotine_2"
31210149,Pacha Mama - Strawberry Guava Jackfruit - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31210151,Pacha Mama - Peach Papaya Coconut Cream - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31210152,Pacha Mama - Mango Pitaya Pineapple - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31210153,Pacha Mama - The Mint Leaf - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31210154,Pacha Mama - Fuji Apple Strawberry Nectarine - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31210155,Pacha Mama - Huckleberry Pear Acai - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31210156,Pacha Mama - Blood Orange Banana Gooseberry - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31210157,Pacha Mama - Passion Fruit Raspberry Yuzu - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31210158,Charlies Chalk Dust - Dream Cream - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31210159,Charlies Chalk Dust - Slamberry - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025170,The Grind - Cappuccino/No Cap - 100ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025178,The Grind - Caramel Macchiato - 100ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025185,The Grind - Mochaccino - 100ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025194,The Grind - Vanilla Latte/Off-White  - 100ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025200,House Party - Raspberry Gummy/Raspberry - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
